Frame,Time,RightBicepsBrachiiCaputBrevis,RightTricepsBrachiiCaputLongus,LeftBicepsBrachiiCaputBrevis,LeftTricepsBrachiiCaputLongus,RightTrapeziusDescendens,LeftTrapeziusDescendens,RightLatissimusDorsi,LeftLatissimusDorsi
117,0.117,-0.002557,0.003895,-0.000567,0.015879,-0.004458,0.011772,0.005062,-0.015134
118,0.118,-0.002989,0.002406,0.000767,0.006721,-0.000896,0.017180,0.006818,-0.016952
119,0.119,0.000779,-0.004460,0.001436,0.013282,0.006689,0.019210,0.009425,-0.015293
120,0.120,0.000476,0.000144,-0.002095,0.007198,0.010694,0.013647,0.004408,-0.005625
121,0.121,-0.006905,-0.007569,0.004816,0.005333,0.004405,0.005233,0.008009,-0.001934
122,0.122,0.004759,-0.004473,0.000258,0.000286,0.001175,0.003763,0.009753,-0.000974
123,0.123,-0.002680,-0.005258,0.002786,0.001814,0.006370,0.005182,0.002196,-0.000033
124,0.124,-0.009417,-0.007721,0.000601,0.008699,-0.000081,0.004068,0.003263,0.002585
125,0.125,-0.008065,-0.011356,0.004146,0.002409,-0.004321,-0.001446,0.002456,0.008380
126,0.126,-0.011104,-0.004859,0.004650,0.005573,-0.005010,-0.004447,-0.000041,0.011956
127,0.127,-0.009940,-0.007294,0.001784,-0.001708,-0.007053,-0.005243,0.000683,0.022372
128,0.128,-0.010658,-0.003488,0.000267,-0.004424,-0.012801,-0.006030,-0.004176,0.032703
129,0.129,-0.013073,-0.008298,0.002468,-0.006941,-0.018024,-0.005283,-0.001086,0.033731
130,0.130,-0.007759,-0.005172,0.001290,-0.006232,-0.022898,-0.008754,-0.009849,0.039608
131,0.131,-0.012580,-0.004593,-0.002912,-0.002657,-0.025908,-0.010385,-0.021151,0.049440
132,0.132,-0.013019,-0.003007,-0.009285,0.006807,-0.034625,-0.012011,-0.025695,0.044905
133,0.133,-0.007747,0.000077,-0.001487,0.013694,-0.053405,-0.007255,-0.018745,0.033187
134,0.134,-0.007064,-0.001079,-0.006704,0.009921,-0.050547,-0.004243,-0.012467,0.019041
135,0.135,-0.011280,-0.000067,-0.005836,-0.004963,-0.043136,-0.001435,-0.015683,0.016955
136,0.136,-0.011794,-0.003933,-0.003286,-0.002919,-0.027475,-0.004955,-0.012645,-0.001683
137,0.137,-0.011321,-0.003419,-0.001088,-0.004762,-0.004952,-0.006007,-0.009941,-0.008893
138,0.138,-0.011694,-0.001241,-0.007485,-0.006430,0.009902,-0.007805,-0.000474,-0.002262
139,0.139,-0.009725,-0.000919,-0.004915,-0.010944,0.028923,-0.013259,0.010856,-0.012245
140,0.140,-0.014847,0.001593,-0.001164,-0.014918,0.036100,-0.025817,0.018479,-0.024984
141,0.141,-0.014233,-0.000779,-0.004675,-0.021063,0.042553,-0.031161,0.011573,-0.039826
