Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
660,6.600,-3.6,-50.5,160.1
661,6.610,-3.6,-49.6,160.7
662,6.620,-3.4,-48.6,161.3
663,6.630,-3.1,-47.5,161.7
664,6.640,-2.6,-46.4,162.1
665,6.650,-2.1,-45.3,162.4
666,6.660,-1.4,-44.0,162.7
667,6.670,-0.6,-42.7,162.8
668,6.680,0.2,-41.3,162.9
669,6.690,1.1,-39.9,162.9
670,6.700,2.1,-38.3,162.8
671,6.710,3.3,-36.7,162.7
672,6.720,4.7,-35.0,162.6
673,6.730,6.2,-33.3,162.4
674,6.740,7.9,-31.4,162.2
675,6.750,9.8,-29.5,162.0
676,6.760,11.8,-27.4,161.8
677,6.770,13.9,-25.4,161.6
678,6.780,16.3,-23.3,161.4
679,6.790,18.8,-21.3,161.2
680,6.800,21.4,-19.3,161.0
681,6.810,24.0,-17.2,160.8
682,6.820,26.7,-15.2,160.7
683,6.830,29.5,-13.1,160.5
684,6.840,32.3,-11.0,160.3
685,6.850,35.1,-8.9,160.1
686,6.860,37.5,-6.7,160.0
687,6.870,39.8,-4.4,159.8
688,6.880,42.0,-2.1,159.6
689,6.890,44.2,0.3,159.5
690,6.900,46.0,2.8,159.4
691,6.910,47.5,5.5,159.2
692,6.920,48.8,8.2,159.1
693,6.930,49.9,11.0,159.0
694,6.940,50.9,13.9,158.9
695,6.950,51.8,16.9,158.7
696,6.960,52.6,20.0,158.4
697,6.970,53.1,23.1,158.0
698,6.980,53.4,26.3,157.6
699,6.990,53.7,29.4,157.0
700,7.000,53.9,32.5,156.1
701,7.010,54.1,35.6,155.0
702,7.020,54.8,38.4,153.6
703,7.030,56.1,40.8,152.4
704,7.040,57.5,43.1,151.3
705,7.050,58.4,45.3,150.0
706,7.060,58.8,47.4,148.6
707,7.070,58.7,49.3,147.1
708,7.080,58.6,51.1,145.6
709,7.090,58.5,52.8,144.1
710,7.100,58.6,54.5,142.8
711,7.110,58.5,56.0,141.4
712,7.120,58.0,57.5,139.9
713,7.130,57.5,58.9,138.6
714,7.140,56.7,60.3,137.2
715,7.150,55.9,61.6,135.7
716,7.160,54.8,62.9,134.1
717,7.170,53.4,64.0,132.0
718,7.180,51.6,65.0,129.6
719,7.190,49.7,65.9,127.2
720,7.200,47.5,66.8,124.7
721,7.210,45.1,67.6,122.1
722,7.220,42.7,68.3,119.2
723,7.230,40.0,68.8,116.1
724,7.240,37.2,69.2,113.0
725,7.250,34.1,69.5,109.7
726,7.260,30.8,69.7,106.3
727,7.270,27.4,69.9,102.8
728,7.280,23.9,70.0,99.2
729,7.290,20.6,70.0,95.7
730,7.300,17.5,69.9,92.3
731,7.310,14.4,69.7,89.1
732,7.320,11.4,69.4,85.8
733,7.330,8.4,69.1,82.7
734,7.340,5.3,68.9,79.5
735,7.350,2.1,68.6,76.3
736,7.360,-0.8,68.2,73.1
737,7.370,-3.2,67.8,70.2
738,7.380,-5.5,67.4,67.5
739,7.390,-7.9,66.9,64.9
740,7.400,-10.2,66.3,62.2
741,7.410,-12.5,65.8,59.6
