Frame,Time,RightBicepsbrachiicaputbrevis,RightTricepsbrachiicaputlongus,LeftBicepsbrachiicaputbrevis,LeftTricepsbrachiicaputlongus,RightTrapeziusdescendens,LeftTrapeziusdescendens,RightLatissimusDorsi,LeftLatissimusDorsi,
174,0.174,0.011491,-0.002195,0.002475,0.007444,-0.013700,-0.037275,-0.019731,-0.004504,
175,0.175,-0.004985,-0.001632,0.003022,0.004869,-0.012512,-0.017383,-0.017848,-0.002925,
176,0.176,0.006468,-0.000056,0.002718,0.004158,-0.011464,0.000725,-0.016145,-0.007103,
177,0.177,0.004731,0.000339,0.003093,0.003600,-0.010381,-0.029085,-0.011579,-0.001812,
178,0.178,0.010597,-0.002480,0.002108,0.001685,-0.005718,-0.041026,-0.004650,-0.005316,
179,0.179,0.012568,0.001123,0.003161,0.003479,0.000255,-0.023133,-0.008379,-0.004750,
180,0.180,0.019957,0.007274,0.001846,-0.001663,0.002279,0.005693,-0.016104,-0.007219,
181,0.181,0.030881,0.009531,0.003586,-0.003273,-0.004706,0.028392,-0.014945,-0.003099,
182,0.182,0.051968,0.007562,-0.000609,-0.004715,-0.007442,0.013197,-0.009611,0.000511,
183,0.183,0.043467,0.006603,-0.001075,-0.004986,-0.016919,0.020958,-0.012198,0.002765,
184,0.184,0.002641,0.004970,-0.006291,-0.010512,-0.028258,0.037853,-0.001027,0.000785,
185,0.185,-0.050014,0.002663,-0.009816,-0.012661,-0.029844,0.048719,0.000486,0.002691,
186,0.186,0.000016,0.000183,-0.005564,-0.009073,-0.017450,0.058658,0.004506,0.003083,
187,0.187,0.019620,-0.001452,-0.005024,-0.004814,-0.005774,0.056613,0.005649,-0.000594,
188,0.188,0.025684,0.000971,0.002792,-0.004286,0.004802,0.047940,0.000078,-0.003601,
189,0.189,0.020758,0.000349,0.003835,-0.000723,0.017352,0.033861,0.003118,0.000328,
190,0.190,0.016337,0.000571,0.004877,-0.001903,0.019091,0.028122,0.005792,0.007122,
191,0.191,0.021040,0.000459,-0.005419,-0.001572,0.017587,0.002587,0.008278,0.000732,
192,0.192,0.017461,0.001020,-0.001334,-0.003445,0.016217,-0.052243,0.008889,-0.003462,
193,0.193,0.014227,0.000559,-0.000127,-0.004485,0.007364,-0.044663,0.005289,-0.004108,
194,0.194,0.004750,0.003317,-0.005687,0.000562,-0.009795,-0.051949,0.005756,0.000829,
195,0.195,0.002208,-0.002391,0.001607,-0.000155,-0.047120,-0.084400,0.002857,-0.003371,
196,0.196,-0.000164,-0.003189,0.004333,0.002838,-0.073834,-0.055268,0.005363,-0.002837,
197,0.197,-0.002194,-0.005346,0.000122,0.002268,-0.049869,-0.028828,0.002321,0.001933,
198,0.198,-0.004056,-0.001754,-0.003586,0.006946,-0.010382,0.004906,0.004329,-0.003795,
199,0.199,-0.005753,-0.000028,0.001331,0.002649,0.005234,0.026829,0.004644,-0.001571,
200,0.200,-0.007263,-0.002868,0.000838,0.000878,0.009662,0.038582,-0.000580,-0.005109,
201,0.201,-0.008603,-0.004365,-0.000843,0.001309,0.022533,0.034866,-0.002743,0.001843,
202,0.202,-0.012824,-0.005529,-0.005574,0.003413,0.042180,0.044437,0.000825,0.001009,
203,0.203,-0.019405,-0.000767,0.002729,0.002974,0.038320,0.047036,0.000330,0.001871,
204,0.204,-0.017876,-0.003787,-0.005047,0.001855,0.034809,0.071463,-0.000158,0.005594,
205,0.205,-0.023120,-0.000897,-0.004024,0.002768,0.031654,0.061394,0.001368,-0.005063,
206,0.206,-0.019720,-0.005625,0.000551,0.003680,-0.009730,0.040340,-0.000810,-0.006595,
