Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
478,4.780,15.1,83.9,-60.9
479,4.790,-1.8,79.8,-65.6
480,4.800,-13.9,74.4,-70.7
481,4.810,-18.4,68.4,-76.0
482,4.820,-18.6,63.3,-80.3
483,4.830,-19.3,58.3,-84.2
484,4.840,-19.2,52.9,-88.7
485,4.850,-20.7,46.8,-93.9
486,4.860,-8.4,43.5,-95.1
487,4.870,-22.5,42.8,-95.2
488,4.880,-27.5,43.0,-92.5
489,4.890,-27.5,43.1,-88.4
490,4.900,-22.3,41.7,-84.7
491,4.910,-10.9,39.3,-81.1
492,4.920,2.9,35.8,-78.7
493,4.930,23.6,31.3,-76.4
494,4.940,49.7,26.1,-74.2
495,4.950,80.1,20.8,-71.7
496,4.960,110.0,16.2,-69.0
497,4.970,124.5,12.9,-67.1
498,4.980,122.3,11.3,-66.3
499,4.990,112.1,10.0,-66.8
500,5.000,100.8,8.2,-68.4
501,5.010,84.0,7.3,-69.0
502,5.020,65.7,6.5,-69.4
503,5.030,61.8,4.5,-68.4
504,5.040,66.3,1.2,-66.3
505,5.050,69.3,-2.0,-63.8
506,5.060,69.8,-5.1,-60.9
507,5.070,64.8,-7.8,-57.7
508,5.080,63.7,-10.5,-54.4
509,5.090,61.4,-12.9,-51.3
510,5.100,57.1,-14.7,-48.4
511,5.110,58.2,-16.7,-46.2
512,5.120,68.5,-19.7,-44.9
513,5.130,73.1,-22.4,-44.0
514,5.140,63.2,-23.8,-43.3
515,5.150,52.1,-25.0,-42.7
516,5.160,40.5,-25.1,-42.5
517,5.170,37.5,-25.9,-42.9
518,5.180,37.2,-25.6,-43.5
519,5.190,38.3,-25.5,-44.4
520,5.200,40.8,-25.6,-44.8
521,5.210,38.8,-26.1,-45.8
522,5.220,32.8,-26.3,-46.9
523,5.230,18.0,-25.1,-47.8
524,5.240,7.7,-24.5,-49.6
525,5.250,6.1,-24.2,-50.4
526,5.260,4.7,-23.9,-51.1
527,5.270,9.2,-24.5,-51.0
528,5.280,18.0,-26.4,-50.5
529,5.290,25.5,-28.7,-49.2
530,5.300,19.3,-30.2,-47.8
531,5.310,5.4,-31.3,-46.3
532,5.320,3.5,-33.5,-44.5
533,5.330,9.2,-37.0,-42.6
534,5.340,22.5,-40.8,-40.0
535,5.350,23.7,-43.6,-38.1
536,5.360,22.6,-46.5,-36.6
537,5.370,11.2,-48.7,-35.0
538,5.380,1.6,-50.4,-32.8
539,5.390,-2.8,-52.9,-31.1
540,5.400,1.8,-55.7,-29.4
541,5.410,-1.5,-57.9,-28.3
542,5.420,-0.9,-59.8,-26.7
543,5.430,-0.7,-62.9,-26.1
544,5.440,0.9,-65.1,-24.4
545,5.450,-3.4,-68.2,-23.4
546,5.460,-5.4,-70.3,-22.1
547,5.470,-11.9,-71.7,-21.3
548,5.480,-17.9,-73.3,-21.1
549,5.490,-16.2,-74.8,-20.8
550,5.500,-14.8,-77.6,-21.3
551,5.510,-4.7,-80.9,-21.8
552,5.520,-9.6,-82.5,-22.0
553,5.530,-14.5,-83.8,-22.5
554,5.540,-17.4,-84.7,-23.2
555,5.550,-23.7,-84.8,-23.8
556,5.560,-20.1,-85.6,-24.4
557,5.570,-15.4,-88.0,-25.5
558,5.580,0.2,-90.8,-25.5
559,5.590,-0.3,-93.8,-26.1
560,5.600,-1.2,-96.3,-26.1
561,5.610,-9.6,-97.6,-26.1
562,5.620,-20.7,-97.8,-26.1
563,5.630,-17.1,-99.9,-25.5
564,5.640,-10.9,-103.8,-24.8
565,5.650,2.4,-107.7,-23.5
566,5.660,6.6,-112.7,-22.1
567,5.670,1.8,-116.3,-20.3
568,5.680,-2.0,-120.0,-18.9
569,5.690,-8.9,-122.9,-17.6
570,5.700,-13.8,-125.2,-15.6
571,5.710,-23.1,-127.7,-13.6
572,5.720,-21.7,-132.2,-11.7
573,5.730,-13.3,-137.9,-10.5
574,5.740,-11.0,-142.5,-9.2
575,5.750,-14.7,-146.9,-8.9
576,5.760,-5.8,-151.7,-7.9
577,5.770,1.0,-156.4,-6.7
578,5.780,4.3,-161.0,-5.1
579,5.790,10.5,-167.1,-3.2
580,5.800,18.4,-174.4,-0.9
581,5.810,24.8,-182.1,2.1
582,5.820,30.6,-190.9,5.3
583,5.830,33.0,-199.2,8.5
584,5.840,40.7,-207.5,12.1
585,5.850,56.8,-216.7,15.6
586,5.860,79.2,-227.2,19.4
587,5.870,100.1,-237.7,23.7
588,5.880,125.3,-247.2,30.0
589,5.890,149.4,-254.3,38.5
590,5.900,170.0,-259.3,48.5
591,5.910,191.2,-262.2,60.1
592,5.920,208.7,-262.3,72.8
593,5.930,227.6,-260.0,86.8
594,5.940,232.5,-254.3,101.1
595,5.950,241.1,-246.6,114.7
596,5.960,236.1,-236.6,128.1
597,5.970,211.2,-224.0,141.1
598,5.980,195.3,-212.6,153.1
599,5.990,161.9,-199.4,164.9
600,6.000,146.5,-188.5,175.6
601,6.010,136.1,-178.1,185.7
602,6.020,51.3,-162.6,194.3
603,6.030,75.4,-159.8,199.3
604,6.040,62.0,-153.0,203.8
605,6.050,24.4,-144.2,208.8
606,6.060,41.6,-141.4,212.1
