 Frame,  Time,EMG Signal 1~5,
   736, 0.736,         6.696,
   737, 0.737,         6.489,
   738, 0.738,         6.272,
   739, 0.739,         6.047,
   740, 0.740,         5.814,
   741, 0.741,         5.577,
   742, 0.742,         5.335,
   743, 0.743,         5.091,
   744, 0.744,         4.847,
   745, 0.745,         4.604,
   746, 0.746,         4.363,
   747, 0.747,         4.126,
   748, 0.748,         3.894,
   749, 0.749,         3.669,
   750, 0.750,         3.453,
   751, 0.751,         3.245,
   752, 0.752,         3.048,
   753, 0.753,         2.863,
   754, 0.754,         2.690,
   755, 0.755,         2.531,
   756, 0.756,         2.385,
   757, 0.757,         2.255,
   758, 0.758,         2.140,
   759, 0.759,         2.041,
   760, 0.760,         1.958,
   761, 0.761,         1.892,
   762, 0.762,         1.843,
   763, 0.763,         1.810,
   764, 0.764,         1.795,
   765, 0.765,         1.796,
   766, 0.766,         1.814,
   767, 0.767,         1.849,
   768, 0.768,         1.900,
   769, 0.769,         1.966,
   770, 0.770,         2.048,
   771, 0.771,         2.145,
   772, 0.772,         2.256,
   773, 0.773,         2.381,
   774, 0.774,         2.519,
   775, 0.775,         2.669,
   776, 0.776,         2.831,
   777, 0.777,         3.004,
   778, 0.778,         3.187,
   779, 0.779,         3.379,
   780, 0.780,         3.579,
   781, 0.781,         3.787,
   782, 0.782,         4.001,
   783, 0.783,         4.220,
   784, 0.784,         4.444,
   785, 0.785,         4.672,
   786, 0.786,         4.902,
   787, 0.787,         5.133,
   788, 0.788,         5.365,
   789, 0.789,         5.597,
   790, 0.790,         5.827,
   791, 0.791,         6.054,
   792, 0.792,         6.278,
   793, 0.793,         6.497,
   794, 0.794,         6.711,
   795, 0.795,         6.918,
   796, 0.796,         7.117,
   797, 0.797,         7.309,
   798, 0.798,         7.490,
   799, 0.799,         7.662,
   800, 0.800,         7.823,
   801, 0.801,         7.972,
   802, 0.802,         8.109,
   803, 0.803,         8.233,
   804, 0.804,         8.344,
   805, 0.805,         8.441,
   806, 0.806,         8.525,
   807, 0.807,         8.594,
   808, 0.808,         8.650,
   809, 0.809,         8.691,
   810, 0.810,         8.719,
   811, 0.811,         8.733,
   812, 0.812,         8.735,
   813, 0.813,         8.724,
   814, 0.814,         8.701,
   815, 0.815,         8.667,
   816, 0.816,         8.623,
   817, 0.817,         8.570,
   818, 0.818,         8.508,
   819, 0.819,         8.440,
   820, 0.820,         8.365,
   821, 0.821,         8.285,
   822, 0.822,         8.201,
   823, 0.823,         8.115,
   824, 0.824,         8.027,
   825, 0.825,         7.939,
   826, 0.826,         7.850,
   827, 0.827,         7.764,
   828, 0.828,         7.679,
   829, 0.829,         7.598,
   830, 0.830,         7.521,
   831, 0.831,         7.448,
   832, 0.832,         7.380,
   833, 0.833,         7.317,
   834, 0.834,         7.260,
   835, 0.835,         7.209,
   836, 0.836,         7.164,
   837, 0.837,         7.125,
   838, 0.838,         7.091,
   839, 0.839,         7.062,
   840, 0.840,         7.039,
   841, 0.841,         7.020,
   842, 0.842,         7.005,
   843, 0.843,         6.993,
   844, 0.844,         6.984,
   845, 0.845,         6.977,
   846, 0.846,         6.971,
   847, 0.847,         6.966,
   848, 0.848,         6.960,
   849, 0.849,         6.953,
   850, 0.850,         6.944,
   851, 0.851,         6.933,
   852, 0.852,         6.918,
   853, 0.853,         6.900,
   854, 0.854,         6.877,
   855, 0.855,         6.848,
   856, 0.856,         6.814,
   857, 0.857,         6.774,
   858, 0.858,         6.728,
   859, 0.859,         6.675,
   860, 0.860,         6.616,
   861, 0.861,         6.549,
   862, 0.862,         6.476,
   863, 0.863,         6.396,
   864, 0.864,         6.309,
   865, 0.865,         6.215,
   866, 0.866,         6.116,
   867, 0.867,         6.011,
